S1	S2	S3	S4

1 	2 	2 	2		//Janela 
10 	6 	15 	30		//Posicao do ponto medio na janela


1	2	2	2
20	9	21	26


1	2	2	2
13	11	19	23


1 	2	2	2
4	5	8	9


1	2	2	2
8	8	9	11


1	2	2	2
6	2	8	21


1	2	2	2
20	4	13	25	


1	2	2	2
28	16	18	28


1	2	2	2	
25	7	19	29


1	2	2	2	
16	10	25	28


1	2	2	2	
25	6	18	29	


1	2	2	2
10	15	19	30


1	2	2	2
20	15	19	24


1	2	2	2
26	10	19	26


1	2	2	2
6	8	9	27


1	2	2	2
1	22	25	30


1	2	2	2
5	8	15	20


1	2	2	2
21	12	20	29


1	2	2	2
25	16	19	27	


1	2	2	2
16	16	19	25
